rank,last_rank,trend,name,city,rating,rating_5yr
149,247,stable,La Vérendr ye,Gloucester,8.8,7.9
199,203,declining,David Suzuki,Markham,8.5,8.0
149,267,stable,St Paul,Whitby,8.8,7.9
199,209,stable,Wismer,Markham,8.5,8.0
149,267,stable,St Timothy,Mississauga,8.8,7.9
199,231,stable,Our Lady of Mount Carmel,Windsor,8.5,8.0
149,296,stable,Gainsborough Central St.,Anns,8.8,7.8
199,296,stable,Chapel Hill,Orleans,8.5,7.8
149,304,stable,John McCrae,Guelph,8.8,7.8
199,345,stable,St Dominic,Oakville,8.5,7.7
149,403,stable,Thornhill Woods,Thornhill,8.8,7.6
199,361,stable,St Patrick,Markham,8.5,7.7
149,547,declining,Sir Ar thur Currie,London,8.8,7.3
199,369,stable,Our Lady of Fatima,Milton,8.5,7.7
149,1111,declining,Oakwood Por t,Colborne,8.8,6.5
199,381,declining,Shirley Street,Toronto,8.5,7.6
161,39,improving,St Mark,Mississauga,8.7,8.9
199,412,stable,Grapeview St.,Catharines,8.5,7.6
161,73,stable,Allenby,Toronto,8.7,8.6
199,571,stable,Connaught St.,Catharines,8.5,7.2
161,73,stable,John Wanless,Toronto,8.7,8.6
199,591,declining,Ken Danby,Guelph,8.5,7.2
161,97,stable,Glynn A Green,Fonthill,8.7,8.5
199,615,declining,Downie Central St.,Pauls,8.5,7.2
161,115,stable,Ryerson,London,8.7,8.4
199,791,stable,Jack Callaghan,Lindsay,8.5,6.9
161,127,declining,Bridlewood,Scarborough,8.7,8.3
199,1137,stable,Princess Margaret Niagara,Falls,8.5,6.5
161,197,stable,St Mar y Immaculate Richmond,Hill,8.7,8.1
199,1191,stable,St Peter's & St Paul's,Durham,8.5,6.4
161,209,stable,St Anselm,Toronto,8.7,8.0
199,n/a,n/a,Lynnwood Heights,Toronto,8.5,n/a
161,231,declining,Hewitt's Creek,Barrie,8.7,8.0
199,n/a,n/a,Sacred Hear t Catholic Por t,Lambton,8.5,n/a
161,285,declining,Parnall St.,Catharines,8.7,7.8
199,n/a,n/a,St Anthony Catholic S,Thornhill,8.5,n/a
161,285,stable,Westminster Woods,Guelph,8.7,7.8
199,n/a,n/a,St Joseph Island Central Richards,Landing,8.5,n/a
161,310,stable,Pape-François,Stouffville,8.7,7.8
231,27,stable,Masonville,London,8.4,9.1
161,424,stable,The Queen Elizabeth Per,th,8.7,7.6
231,71,stable,L'Étoile-de-l'Est,Orléans,8.4,8.6
161,427,stable,St Joan of Arc,Oakville,8.7,7.5
231,76,stable,William Dunbar,Pickering,8.4,8.6
161,436,stable,Ferndale St.,Catharines,8.7,7.5
231,81,stable,St. James,Mississauga,8.4,8.5
161,456,stable,Lockview St.,Catharines,8.7,7.5
231,88,stable,Prince Philip St.,Catharines,8.4,8.5
161,670,stable,Nor'wester View Thunder,Bay,8.7,7.1
231,103,stable,Pope John Paul II Richmond,Hill,8.4,8.4
161,1329,stable,Maison Montessori Nor th,York,8.7,6.3
231,120,stable,Josyf Cardinal Slipyj,Toronto,8.4,8.3
161,n/a,n/a,Bishop Macdonell,Toronto,8.7,n/a
231,147,stable,Coledale,Markham,8.4,8.2
161,n/a,n/a,Hastings,Hastings,8.7,n/a
231,164,stable,Black Walnut,Markham,8.4,8.2
161,n/a,n/a,La Fontaine,Kleinburg,8.7,n/a
231,180,stable,First Avenue,Ottawa,8.4,8.1
